Postcode,Council+Other Social (Count),Council+Other Social (%),Owned (Count),Owned (%),Shared Ownership (Count),Shared Ownership (%),Private Landlord (Count),Private Landlord (%)
CF24 3SB,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3SD,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3SE,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3SF,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3SG,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3SH,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3SJ,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3SL,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3SN,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3SP,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3TQ,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3TW,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3UN,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3UR,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3UW,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3UX,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3WD,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3WN,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3XL,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3YB,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3YR,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3YW,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3YX,Error,Error,Error,Error,Error,Error,Error,Error
CF24 3YZ,Error,Error,Error,Error,Error,Error,Error,Error
